Independent variable	 dependent variable	 epsilon
0.000000 	 2.035317 	 -0.964683 
1.000000 	 6.824453 	 0.324453 
2.000000 	 10.050648 	 -0.949352 
3.000000 	 15.845093 	 -0.654907 
4.000000 	 23.612767 	 0.612767 
5.000000 	 31.646658 	 1.146658 
6.000000 	 41.440814 	 2.440814 
7.000000 	 47.480983 	 -1.019017 
8.000000 	 56.501255 	 -2.498745 
9.000000 	 71.376695 	 0.876695 
10.000000 	 84.136787 	 1.136787 
11.000000 	 97.008461 	 0.508461 
12.000000 	 113.949260 	 2.949260 
13.000000 	 126.316569 	 -0.183431 
14.000000 	 143.376690 	 0.376690 
15.000000 	 159.711927 	 -0.788073 
16.000000 	 177.816366 	 -1.183634 
17.000000 	 199.098843 	 0.598843 
18.000000 	 218.887772 	 -0.112228 
19.000000 	 239.551043 	 -0.948957 
20.000000 	 264.464913 	 1.464913 
21.000000 	 285.580519 	 -0.919481 
22.000000 	 314.635826 	 3.635826 
23.000000 	 336.826738 	 0.326738 
24.000000 	 361.777725 	 -1.222275 
25.000000 	 389.586412 	 -0.913588 
26.000000 	 419.750490 	 0.750490 
27.000000 	 447.794470 	 -0.705530 
28.000000 	 478.482070 	 -0.517930 
29.000000 	 510.042823 	 -0.457177 
30.000000 	 543.313587 	 0.313587 
31.000000 	 577.232458 	 0.732458 
32.000000 	 612.298991 	 1.298991 
33.000000 	 646.470573 	 -0.029427 
34.000000 	 681.790944 	 -1.209056 
35.000000 	 720.336009 	 -0.163991 
36.000000 	 759.300759 	 0.300759 
37.000000 	 796.381018 	 -2.118982 
38.000000 	 840.924115 	 1.924115 
39.000000 	 879.746008 	 -0.753992 
40.000000 	 922.886407 	 -0.113593 
41.000000 	 967.508739 	 1.008739 
42.000000 	 1011.426950 	 0.426950 
43.000000 	 1055.286604 	 -1.213396 
44.000000 	 1102.797681 	 -0.202319 
45.000000 	 1148.364692 	 -2.135308 
46.000000 	 1198.072231 	 -0.927769 
47.000000 	 1247.862404 	 -0.637596 
